,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.677,29.32,29.85,30.16,29.26,29.82,4838367,4.19997,143212341,52.357,5.207,844416.0,337766.4
1,603998,方盛制药,0.686,17.62,17.45,17.8,17.45,17.5,2353560,0.87435,41607232,27.531,8.347,762957.84064,474290.26164
2,603997,继峰股份,-0.509,19.56,19.67,19.79,19.4,19.66,1617267,1.41866,31756406,44.455,5.643,821520.0,222984.0
3,603996,中新科技,-2.113,19.92,20.29,20.39,19.8,20.35,3718777,3.60085,74472621,27.667,4.466,597898.8,205723.8
4,603993,洛阳钼业,-0.535,3.72,3.74,3.76,3.71,3.74,19668687,0.15184,73273211,74.4,0.705,6282037.91603,4818787.82003
5,603990,麦迪科技,0.787,55.06,54.8,56.88,53.81,54.63,8492849,42.46425,470539292,84.708,16.787,440480.0,110120.0
6,603989,艾华集团,1.461,36.81,36.12,37.14,36.12,36.28,1156250,1.37037,42451722,42.31,6.428,1104300.0,310584.375
7,603988,中电电机,-0.469,67.95,68.98,69.18,67.86,68.27,382500,1.70759,26143118,128.208,8.405,543600.0,152208.0
8,603987,康德莱,0.342,32.29,32.2,32.5,31.67,32.18,4015192,7.63344,128947880,53.817,7.67,679026.41,169845.4
9,603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0,0.0,0,84.748,14.389,1779700.0,444925.0
10,603979,金诚信,0.169,17.83,17.78,17.9,17.76,17.8,1767500,0.99878,31511596,28.302,2.194,802350.0,315531.0912
11,603977,国泰集团,-0.146,27.45,27.45,27.79,27.18,27.49,3770859,6.82138,103783663,46.525,6.938,606864.6,151743.6
12,603969,银龙股份,0.216,13.94,13.99,14.04,13.87,13.91,1429503,0.93658,19972634,42.242,3.602,557600.0,212766.917
13,603968,醋化股份,0.789,24.26,24.14,24.34,24.09,24.07,1296315,0.94899,31400196,42.561,4.022,496068.48,331391.6
14,603959,百利科技,0.035,28.73,28.76,29.02,28.65,28.72,765975,1.36781,22048377,63.844,7.838,643552.0,160888.0
15,603958,哈森股份,-1.162,29.78,30.2,30.28,29.71,30.13,1003803,1.84666,30067796,40.739,5.65,647298.08,161877.665388
16,603939,益丰药房,0.475,29.64,29.7,29.79,29.12,29.5,606240,0.3886,17835130,51.638,3.712,1075026.96631,462407.712
17,603936,博敏电子,-1.554,31.67,31.95,32.48,31.66,32.17,952800,1.6984,30489304,65.165,5.76,529997.45,177668.7
18,603929,N亚翔,43.927,7.11,7.11,7.11,7.11,4.94,24686,0.04626,175517,14.22,1.713,151698.96,37938.96
19,603928,兴业股份,-0.642,27.85,28.01,28.35,27.72,28.03,6310771,12.52137,176787439,38.681,7.466,561456.0,140364.0
